CO
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.299"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.299"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
"18.00%;""22.00°"";"" 1.201"""
